"MOSCHOVAKIS","MATH 114C","Crs Readers Recursion And Computation","Moschovakis","https://coverimages.verbacompete.com/no_image.jpg","9789891809763","160673"
"101","ALC 975","Q - Skills For Success - Level 1 ","Scanlon","https://coverimages.verbacompete.com/f1aa7da8-29d3-5617-a392-6a0d437df14c.jpg","9780194818407","160716"
"101","ALC 975","Ready To Write 2 Wkbk ","Blanchard","https://coverimages.verbacompete.com/9b023436-3f36-5d15-8909-75a614566652.jpg","9780131363328","160716"
"TOEFL PREP","ALC 975","Complete Guide To Toefl W/Cd","Rogers","https://coverimages.verbacompete.com/0629ca22-27e7-5819-afc2-6a2943390506.jpg","9781413023039","160717"
"TOEFL PREP","ALC 975","Longman Intro Course Toefl/Ibt Sbk/Cd/ Itests W/Ak","Phillips","https://coverimages.verbacompete.com/51965fe1-7439-5f95-9253-b9c172bbd4ca.jpg","9780133436945","160717"
"100","ALC 975","Focus On Grammar 1 Wkbk W/Cd","Schoenberg","https://coverimages.verbacompete.com/e001aa48-8db2-5180-8d5d-979101a5be40.jpg","9780132455916","160718"
"100","ALC 975","Listen To Me Wkbk","Foley","https://coverimages.verbacompete.com/4e07e8db-3d0a-5738-b3bf-1d79f77737c8.jpg","9781424003785","160718"
"100","ALC 975","Longman Academic Writing Series 1 ","Butler","https://coverimages.verbacompete.com/39504ec1-d02f-5178-8a2a-b9eb644a033e.jpg","9780132679381","160718"
"100","ALC 975","New Password 1 Wkbk ","Butler","https://coverimages.verbacompete.com/9066348c-3f47-50e2-9eb2-975ee316f35b.jpg","9780138143435","160718"
"100","ALC 975","Oxford Picture Dict ","Shapiro","https://coverimages.verbacompete.com/c2cd5353-0bd5-5ec9-b0ef-e52ce7470020.jpg","9780194369763","160718"
"WORONOFF","LAW 391","Crs Venture Capital And The Start-Up Company","Woronoff","https://coverimages.verbacompete.com/no_image.jpg","9789891809800","160720"
"WORONOFF","LAW 391","Entrepreneurs Guide To Business Law","Bagley","https://coverimages.verbacompete.com/ae17a820-c8c8-5ef0-8ea6-3aa7b72260ae.jpg","9780538466462","160720"
"WOLF","DISSTD 101W","Disability Studies Reader","Davis","https://coverimages.verbacompete.com/55717db7-235d-5be4-896d-4a7c2ab72363.jpg","9781138930230","160725"
"POPHAM","ENGCOMP 3","Craft Of Revision","Murray","https://coverimages.verbacompete.com/6031e233-8ed2-5b7d-83ff-f4f1cd79629b.jpg","9780840028853","160729"
"POPHAM","ENGCOMP 3","Crs Read To Write","Popham","https://coverimages.verbacompete.com/no_image.jpg","9789891801071","160729"
"POPHAM","ENGCOMP 3","Easywriter","Lunsford","https://coverimages.verbacompete.com/fba7806a-3067-5ff3-81a1-e5dd7af9430c.jpg","9781319050764","160729"
"POPHAM","ENGCOMP 3","Craft Of Revision","Murray","https://coverimages.verbacompete.com/6031e233-8ed2-5b7d-83ff-f4f1cd79629b.jpg","9780840028853","160730"
"POPHAM","ENGCOMP 3","Crs Read To Write","Popham","https://coverimages.verbacompete.com/no_image.jpg","9789891801071","160730"
"POPHAM","ENGCOMP 3","Easywriter","Lunsford","https://coverimages.verbacompete.com/fba7806a-3067-5ff3-81a1-e5dd7af9430c.jpg","9781319050764","160730"
"HECHT","URBP 265C","Ecological Hoofprint","Weis","https://coverimages.verbacompete.com/4e5e5e65-ceb3-5a3f-9b3e-e783542dfa21.jpg","9781780320960","160741"
"HECHT","URBP 265C","Fascist Pigs","Saraiva","https://coverimages.verbacompete.com/1b19af04-c1fe-5585-876f-60996248e08a.jpg","9780262035033","160741"
"HECHT","URBP 265C","Food & The City","Cockrall  King","https://coverimages.verbacompete.com/0b81eb97-50c8-539d-9f95-25b6613e0ae4.jpg","9781616144586","160741"
"HECHT","URBP 265C","Four Fish","Greenberg","https://coverimages.verbacompete.com/3d23403f-6661-5484-8700-b54f5cf029b7.jpg","9780143119463","160741"
"HECHT","URBP 265C","Salt Sugar Fat","Moss","https://coverimages.verbacompete.com/15505343-a614-5e6a-bd98-cda881faf3bb.jpg","9780812982190","160741"
"BOWERS","ENGCOM 129C","Becoming A Doctor ","Gutkind","https://coverimages.verbacompete.com/04748148-448e-5f4a-9133-aec770ff53c9.jpg","9780393334555","160749"
"BOWERS","ENGCOM 129C","Crs The Fall Of The Roman Republic & The Course Of Imperial Roman History","Langdon","https://coverimages.verbacompete.com/no_image.jpg","9789891809824","160749"
"SUSSMAN","MANG 220","Crs Corporate Financial Reporting","Sussman","https://coverimages.verbacompete.com/no_image.jpg","9789891800395","160750"
"SUSSMAN","MANG 220","Crs Corporate Financial Reporting","Sussman","https://coverimages.verbacompete.com/no_image.jpg","9789891800395","160751"
"SUSSMAN","MANG 220","E-Crs Corporate Financial Reporting (Digital - For Immediate Access Visit Study.Net To Purchase)","Sussman","https://coverimages.verbacompete.com/no_image.jpg","9780318001548","160752"
"SUSSMAN","MANG 220","Financial Reporting & Analysis","Revsine","https://coverimages.verbacompete.com/d0dc1b38-23fd-576d-abc8-d9c1e7238677.jpg","9780078025679","160752"
"DAGENAIS","SPAN 122","Poema Del Cid (Odres Nuevos Castalia)","Anonymous","https://coverimages.verbacompete.com/no_image.jpg","9788497405393","160755"
"DAGENAIS","SPAN 130","Poema Del Cid (Odres Nuevos Castalia)","Anonymous","https://coverimages.verbacompete.com/no_image.jpg","9788497405393","160756"
"LITT","MGMT 122","Managerial Accounting (Loose-Leaf)","Garrison","https://coverimages.verbacompete.com/2a60207f-ca4a-5fac-8a74-6df01c671cb6.jpg","9780077522940","160758"
"LITT","MGMT 122","Managerial Accounting","Garrison","https://coverimages.verbacompete.com/59de186c-3a20-5ee4-a053-619a33d71c4b.jpg","9780078025631","160758"
"GRINNELL","PHYSCI 19","Proust Was A Neuroscientist","Lehrer","https://coverimages.verbacompete.com/d3cdf958-88cb-54e6-b286-5bc9c0a43c99.jpg","9780547085906","160762"
"WECKSTROM","SCAND 105B","Rivstart B1/B2 Ovningsbok","Lindemalm","https://coverimages.verbacompete.com/no_image.jpg","9789127434240","160764"
"WECKSTROM","SCAND 105B","Rivstart B1/B2 Textbok","Lindemalm","https://coverimages.verbacompete.com/no_image.jpg","9789127434233","160764"
"WECKSTROM","SCAND 105B","Swedish ","Hinchliffe","https://coverimages.verbacompete.com/6e2d7c78-a577-59c2-aea4-ed6f3edcfbe7.jpg","9780415458009","160764"
"Tetradis","DENT OSD301","Oral & Maxillofacial Pathology","Chi","https://coverimages.verbacompete.com/22f93e45-ebc2-54c9-ab6b-0a49b1db2fe8.jpg","9781455770526","160767"
"Tetradis","DENT OSD301","Oral Radiology","White","https://coverimages.verbacompete.com/c8906ec5-055b-5dee-a6d6-cac041f89bd3.jpg","9780323096331","160767"
"CHRISTOU","STATS 403","Mathematical Statistics With Applications","Wackerly","https://coverimages.verbacompete.com/d72d71d7-1ea8-5592-a9ab-869fa65450de.jpg","9780495110811","160777"
"PAIK SCHOENBERG","STATS 404","Extending The Linear Model With R","Faraway","https://coverimages.verbacompete.com/3655dd61-51c8-52b6-a140-b36d1977517f.jpg","9781498720960","160778"
"PAIK SCHOENBERG","STATS 404","R Cookbook","Teetor","https://coverimages.verbacompete.com/4c30ae3f-bd86-5ec4-a087-85a3d6817cdd.jpg","9780596809157","160778"
"PAIK SCHOENBERG","STATS 404","Intro To C Programming Language","Kernighan","https://coverimages.verbacompete.com/5755a5f7-3ccc-5e1f-91b6-c570aec6cecf.jpg","9780131103627","160778"
"CHUQUIN","SPAN 1","Unidos Classroom Manual (Access Card Pkg)","Guzman","https://coverimages.verbacompete.com/8f2a99bc-8a1d-533d-a883-85d72627205d.jpg","9780134117959","160780"
"LEE","KOREA 50","History Of Korea","Hwang","https://coverimages.verbacompete.com/40caa761-6050-5c1a-b9e4-489dc6608727.jpg","9781137573568","160786"
"WILLIAMS","MGMT 121","Ethical Obligations & Decision Making In Accounting ","Mintz","https://coverimages.verbacompete.com/97d587d7-e1ab-5aff-9ea8-ebfff9c0f970.jpg","9780077862213","160787"
"NEUWIRTH","ALC 945 APS ADVANCED ACADEMIC","Crs Advanced Academic Topics - Z","Alc Celestial Blue","https://coverimages.verbacompete.com/no_image.jpg","9789891804805","160788"
"NEUWIRTH","ALC 945 APS INTERMEDIATE CORE SKI","Crs Intermediate Spoken Communication - C","Alc Canary","https://coverimages.verbacompete.com/no_image.jpg","9789891804874","160789"
"NEUWIRTH","ALC 945 CRS INTERMEDIATE CULTURE TOPICS - Z","Crs Intermediate Culture Topics - Z","Alc Orbit Orange","https://coverimages.verbacompete.com/no_image.jpg","9789891804867","160790"
"NEUWIRTH","ALC 945 CRS INTERMEDIATE ACADEMIC TOPICS- Z","Crs Intermediate Academic Topics- Z","Alc Galaxy Gold","https://coverimages.verbacompete.com/no_image.jpg","9789891804843","160791"
"NEUWIRTH","ALC 945","Crs Advanced Written Communication Skills - A","Alc Lavender","https://coverimages.verbacompete.com/no_image.jpg","9789891807349","160792"
"NEUWIRTH","ALC 945 CRS ADVANCED SPOKEN COMMUNICATION - C","Crs Advanced Spoken Communication - C","Alc Blue","https://coverimages.verbacompete.com/no_image.jpg","9789891804836","160793"
"NEUWIRTH","ALC 945 CRS ADVANCED CULTURE TOPICS- Z","Crs Advanced Culture Topics - Z","Alc Planetary Purple","https://coverimages.verbacompete.com/no_image.jpg","9789891804829","160794"
"NEUWIRTH","ALC 945 CRS ADVANCED BUSINESS TOPICS - Z","Crs Advanced Business Topics - Z","Alc Grey","https://coverimages.verbacompete.com/no_image.jpg","9789891804812","160795"
"LACKMAN","ENGR 200","Crs Program Management Principles","Lackman","https://coverimages.verbacompete.com/no_image.jpg","9789891800012","160799"
"WORDPLAY","ALC 975","Vocabulary Cartoons (Rev Upd)","Burchers","https://coverimages.verbacompete.com/19dd0fe3-fdb5-5b73-801f-2ecc7f5643f1.jpg","9780965242233","160807"
"BUSINESS ENGLISH","ALC 975","Market Leader ","Cotton","https://coverimages.verbacompete.com/5105be84-05aa-54a5-a438-ec1e80d338ca.jpg","9781408237090","160808"
"SHORTER","WLARTS 210","I Rigoberta Menchu","Menchu","https://coverimages.verbacompete.com/6a3b7c67-c7c5-5606-92cc-7651cef1f4e0.jpg","9781844674183","160809"
"SHORTER","WLARTS 210","Shamanaism Colonialism & Wild Man","Taussig","https://coverimages.verbacompete.com/becf5133-a863-5bb9-a33d-ce8f0413f230.jpg","9780226790138","160809"
"SHORTER","WLARTS 210","Post - Colonial Studies ","Ashcroft","https://coverimages.verbacompete.com/93579cd7-9e83-5581-8c8d-6d53d84a175b.jpg","9780415661911","160809"
"INTERACTIVE L/S","ALC 975","Real Talk 2","Baker","https://coverimages.verbacompete.com/c80d00c2-9ef0-5f63-9504-9d04528527a0.jpg","9780131940963","160810"
"SMITH","SPAN 1","Unidos Classroom Manual ","Guzman","https://coverimages.verbacompete.com/no_image.jpg","9781323231807","160811"
"AZZAM","MATH 33A","Linear Algebra W/ Applications (Loose-Leaf)","Bretscher","https://coverimages.verbacompete.com/no_image.jpg","9781269152037","160818"
"TSOU","DANCE 10","Yang Taiji ","Tsou","https://coverimages.verbacompete.com/no_image.jpg","9780982203521","160830"
"COCKRUM","MANG 231E","Crs Managing Finance & Financing The Emerging Enterprise","Cockrum","https://coverimages.verbacompete.com/no_image.jpg","9789891809848","160834"
"COCKRUM","MANG 231E","Crs Techniques Of Financial Analysis","Cockrum","https://coverimages.verbacompete.com/no_image.jpg","9789891804430","160834"
"COCKRUM","MANG 231E","Crs Managing Finance & Financing The Emerging Enterprise","Cockrum","https://coverimages.verbacompete.com/no_image.jpg","9789891809848","160835"
"COCKRUM","MANG 231E","Crs Techniques Of Financial Analysis","Cockrum","https://coverimages.verbacompete.com/no_image.jpg","9789891804430","160835"
"COCKRUM","MANG 460A","Crs Managing Finance & Financing The Emerging Enterprise","Cockrum","https://coverimages.verbacompete.com/no_image.jpg","9789891809848","160836"
"COCKRUM","MANG 460A","Crs Techniques Of Financial Analysis","Cockrum","https://coverimages.verbacompete.com/no_image.jpg","9789891804430","160836"
"COCKRUM","MANG 460B","Crs Managing Finance & Financing The Emerging Enterprise","Cockrum","https://coverimages.verbacompete.com/no_image.jpg","9789891809848","160837"
"COCKRUM","MANG 478","Crs Managing Finance & Financing The Emerging Enterprise","Cockrum","https://coverimages.verbacompete.com/no_image.jpg","9789891809848","160838"
"COCKRUM","MANG 478","Crs Techniques Of Financial Analysis","Cockrum","https://coverimages.verbacompete.com/no_image.jpg","9789891804430","160838"
"COCKRUM","MANG 231E","Crs Managing Finance & Financing The Emerging Enterprise","Cockrum","https://coverimages.verbacompete.com/no_image.jpg","9789891809848","160839"
"COCKRUM","MANG 231E","Crs Techniques Of Financial Analysis","Cockrum","https://coverimages.verbacompete.com/no_image.jpg","9789891804430","160839"
"LIEBERMAN","MANG 215B","E-Crs Market Entry Strategy","Lieberman","https://coverimages.verbacompete.com/7dfe90b0-d15d-5953-8d95-ec80b96285a6.jpg","9780318002064","160840"
"SUSSMAN","MANG 279A","Crs Cases In Real Estate Investment And Finance","Sussman","https://coverimages.verbacompete.com/no_image.jpg","9789891809855","160841"
"SUSSMAN","MANG 279A","Real Estate Principles","Ling","https://coverimages.verbacompete.com/0949fba9-7a2d-51d9-a266-fdb7396c6ac4.jpg","9780073377346","160841"
"SUSSMAN","MANG 279A","Crs Cases In Real Estate Investment And Finance","Sussman","https://coverimages.verbacompete.com/no_image.jpg","9789891809855","160842"
"SUSSMAN","MANG 279A","E-Crs Cases In Real Estate Investment And Finance","Sussman","https://coverimages.verbacompete.com/no_image.jpg","9780318001234","160842"
"SUSSMAN","MANG 279A","Real Estate Principles","Ling","https://coverimages.verbacompete.com/0949fba9-7a2d-51d9-a266-fdb7396c6ac4.jpg","9780073377346","160842"
"HENDRY","MANG 273","E-Crs Entertainment Finance","Hendry","https://coverimages.verbacompete.com/no_image.jpg","9780318002071","160843"
"GUNSALUS","MIMG 101","Brock Biology Of Microorganisms (Loose-Leaf) (W/ Mastering Microbiology)","Madigan","https://coverimages.verbacompete.com/fd4e8649-cf28-5c7c-a004-ec77538354ce.jpg","9780321948304","160844"
"GUNSALUS","MIMG 101","Brock Biology Of Microorganisms (Loose-Leaf)","Madigan","https://coverimages.verbacompete.com/16d5b004-4ad9-5d63-a69b-592e5a79431a.jpg","9780321928351","160844"
"ROOS","EDUC 322\4","Intro To Early Childhood Special Education","Dunlap","https://coverimages.verbacompete.com/ad57bf9f-e07e-57ed-a0cd-df7cc3005d01.jpg","9780205488728","160846"
"Drs. Rashmi Mullur and Kirsten Tillisch","MED HBD403","Biochemistry (W/ Bind - In Access Code)","Ferrier","https://coverimages.verbacompete.com/cdbe3e70-d4bd-5f83-8e61-636993ae012c.jpg","9781451175622","160857"
"ALEXANDER","HNRS 105","Crs Racial And Ethnic Disparities In Health Care","Alexander","https://coverimages.verbacompete.com/no_image.jpg","9789891809862","160858"
"ALVARADO","AFROAM C191","Crs Racial And Ethnic Disparities In Health Care","Alexander","https://coverimages.verbacompete.com/no_image.jpg","9789891809862","160859"
"ALVARADO","AFROAM C191","Zami ","Lorde","https://coverimages.verbacompete.com/d1d9eaa6-0dc7-507c-955e-d3e2329e28f5.jpg","9780895941220","160859"
"MCMILLAN","AFROAM C291","Crs Racial And Ethnic Disparities In Health Care","Alexander","https://coverimages.verbacompete.com/no_image.jpg","9789891809862","160860"
"MCMILLAN","AFROAM C291","Zami ","Lorde","https://coverimages.verbacompete.com/d1d9eaa6-0dc7-507c-955e-d3e2329e28f5.jpg","9780895941220","160860"
"ALEXANDER","HNRS 105","Crs Racial And Ethnic Disparities In Health Care","Alexander","https://coverimages.verbacompete.com/no_image.jpg","9789891809862","160861"
"ALEXANDER","HNRS 105","Crs Racial And Ethnic Disparities In Health Care","Alexander","https://coverimages.verbacompete.com/no_image.jpg","9789891809862","160862"
"SCHUH","LING 1","Crs Introduction To The Study Of Language (Print & Digital Combo)","Bozzone","https://coverimages.verbacompete.com/no_image.jpg","9789891809879","160864"
"SCHUH","LING 1","Language Instinct","Pinker","https://coverimages.verbacompete.com/a25cc067-0330-5a79-97af-4425fdbc2bae.jpg","9780061336461","160864"
"SCHUH","LING 1","Crs Introduction To The Study Of Language (Print & Digital Combo)","Bozzone","https://coverimages.verbacompete.com/no_image.jpg","9789891809879","160865"
"SCHUH","LING 1","Language Instinct","Pinker","https://coverimages.verbacompete.com/a25cc067-0330-5a79-97af-4425fdbc2bae.jpg","9780061336461","160865"
"SMALLEY","MANG 298D","Crs Recognizing And Resolving Legal Issues In The Real Estate Business","Smalley","https://coverimages.verbacompete.com/no_image.jpg","9789891809886","160867"
"DUKAKIS","PLCY 205 BUREAUCRACY AND PUBLIC MANAGEMENT","Crs Institutional Leadership And The Public Manager","Dukakis","https://coverimages.verbacompete.com/no_image.jpg","9789891809893","160868"
"DUKAKIS","PLCY 205","Crs How To Manage In The Public Sector","Dukakis","https://coverimages.verbacompete.com/no_image.jpg","9789891804331","160869"
"DUKAKIS","PLCY 205","Crs Institutional Leadership And The Public Manager","Dukakis","https://coverimages.verbacompete.com/no_image.jpg","9789891809893","160869"
"103","ALC 975","Focus On Vocabulary 1 ","Schmitt","https://coverimages.verbacompete.com/6046b89a-9cb4-525c-b18f-6a40ce854a2a.jpg","9780131376199","160870"
"103","ALC 975","Grammar In Context 3","Elbaum","https://coverimages.verbacompete.com/c69c9018-6dd7-542a-b395-a0c5c14a0197.jpg","9781305075399","160870"
"103","ALC 975","Great American Stories 1","Draper","https://coverimages.verbacompete.com/d5fd80e0-c7bc-5ebd-8ab8-44fbfe358f68.jpg","9780130309679","160870"
"103","ALC 975","Interactions 2 ","Tanka","https://coverimages.verbacompete.com/a4d0d5a8-eb6e-5cf5-baca-4d89f5524b2a.jpg","9780077831028","160870"
"103","ALC 975","Longman Academic Writing Series 3","Oshima","https://coverimages.verbacompete.com/d86f9659-cc65-5981-af78-1705160974e7.jpg","9780132915663","160870"
"HOFFMAN","LAW 140","Forms & Functions Of Tort Law","Abraham","https://coverimages.verbacompete.com/178f3f31-e9af-5116-8b6c-831e6e13af8c.jpg","9781609300531","160874"
"HOFFMAN","LAW 140","Tort Law & Alternatives","Franklin","https://coverimages.verbacompete.com/6b5987ac-6a5f-5bbf-b34c-7de30e378ab3.jpg","9781634593007","160874"
"HOFFMAN","LAW 140","Forms & Functions Of Tort Law","Abraham","https://coverimages.verbacompete.com/178f3f31-e9af-5116-8b6c-831e6e13af8c.jpg","9781609300531","160875"
"HOFFMAN","LAW 140","Tort Law & Alternatives","Franklin","https://coverimages.verbacompete.com/6b5987ac-6a5f-5bbf-b34c-7de30e378ab3.jpg","9781634593007","160875"
"KONG","MATH 173A","Loss Models ","Klugman","https://coverimages.verbacompete.com/eaf2c88e-fd0c-5952-a03c-4ebf4543c1b8.jpg","9781118315323","160885"
"FORD","MGMT 160","Business Model Generation","Osterwalder","https://coverimages.verbacompete.com/56e77c11-28f8-58a2-997c-57c8791d2fab.jpg","9780470876411","160887"
"FORD","MGMT 160","Value Proposition Design","Wilson","https://coverimages.verbacompete.com/46993a17-c15c-536c-99da-b6d16f2a905c.jpg","9781118968055","160887"
"SPILLER","MANG 263A","E-Crs Consumer Behavior","Spiller","https://coverimages.verbacompete.com/no_image.jpg","9780318002125","160888"
"COCHRAN","EPI 410","Crs Management Of Epidemiological Data","Bjorkenstam","https://coverimages.verbacompete.com/no_image.jpg","9789891809909","160889"
"COCHRAN","EPI 410","Little Sas Book","Delwiche","https://coverimages.verbacompete.com/0fd80898-e10a-5310-86f2-f6802df7e01a.jpg","9781612903439","160889"
"NEEDLEMAN","HPM M233 E-CRS A PRIMER FOR POLICY ANALYSIS (EXCERPTS)","Analyzing Policy","Munger","https://coverimages.verbacompete.com/319e5343-3b25-5107-ab95-f8414dec6d86.jpg","9780393973990","160894"
"NEEDLEMAN","HPM M233 E-CRS A PRIMER FOR POLICY ANALYSIS (EXCERPTS)","Crs A Primer For Policy Analysis (Excerpts)","Needleman","https://coverimages.verbacompete.com/no_image.jpg","9788891791245","160894"
"NEEDLEMAN","HPM M233","Analyzing Policy","Munger","https://coverimages.verbacompete.com/319e5343-3b25-5107-ab95-f8414dec6d86.jpg","9780393973990","160895"
"NEEDLEMAN","HPM M233","Crs A Primer For Policy Analysis (Excerpts)","Needleman","https://coverimages.verbacompete.com/no_image.jpg","9788891791245","160895"
"STEWART","CIVL 121","Crs Design Foundations And Earth Structures","Stewart","https://coverimages.verbacompete.com/no_image.jpg","9789891809930","160896"
"FRISCIA","PHYSCI 13","Crs Introduction To Human Anatomy","Friscia","https://coverimages.verbacompete.com/no_image.jpg","9789891809954","160899"
"STANSFIELD SULC","EDUC 312\11","Crs Building Self-Esteem In Young Children","Sulc","https://coverimages.verbacompete.com/no_image.jpg","9788891797308","160900"
"PAIK SCHOENBERG","STATS 221","Time Series Analysis & Its Applications","Shumway","https://coverimages.verbacompete.com/8e33fb91-3edf-51d9-a807-9f78941b3740.jpg","9781461427599","160910"
"TERECH","MANG 261A","E-Crs Sales And Channel Management","Terech","https://coverimages.verbacompete.com/no_image.jpg","9780318002170","160919"
