"URDANK","HIST 191C","Pity Of War","Ferguson","https://coverimages.verbacompete.com/a4febceb-780f-5a30-a5dc-b252e4d0eaa2.jpg","9780465057122","141578"
"URDANK","HIST 191C","Russian Revolution","Fitzpatrick","https://coverimages.verbacompete.com/b1cb5a18-262c-50d0-9d94-b734be0a62d9.jpg","9780199237678","141578"
"URDANK","HIST 191C","Vichy France","Paxton","https://coverimages.verbacompete.com/0a69d044-56f3-5273-990c-a07e4aea6106.jpg","9780231124690","141578"
"FORD","HIST 191C","14-18","Audoin Rouzeau","https://coverimages.verbacompete.com/ba98cad9-b275-52b5-9663-c58ae6ae525e.jpg","9780809046430","141579"
"FORD","HIST 191C","All Quiet On Western Front","Remarque","https://coverimages.verbacompete.com/070b13a5-3435-5774-ae8a-bff0991c3211.jpg","9780449213940","141579"
"FORD","HIST 191C","First World War (Very Short Intro)","Howard","https://coverimages.verbacompete.com/e51e8f2b-f81f-5bf1-8267-fc54e9d6f692.jpg","9780199205592","141579"
"FORD","HIST 191C","Testament Of Youth","Brittain","https://coverimages.verbacompete.com/aa678dbc-79ae-55b2-b9f3-a6a6823af610.jpg","9780143039235","141579"
"GOMEZ-QUINONES","HIST 191D","Crs Social Movements In The United States","Gomez Quinones","https://coverimages.verbacompete.com/no_image.jpg","9788891792334","141580"
"GOMEZ-QUINONES","HIST 191D","Daring To Be Bad","Echols","https://coverimages.verbacompete.com/e97cb391-9e15-543d-a8e8-462efe0d345b.jpg","9780816617876","141580"
"GOMEZ-QUINONES","HIST 191D","Legacy To Liberation","Ho","https://coverimages.verbacompete.com/36aaf8ab-86e6-541f-9f3f-912c7a5f578b.jpg","9781902593241","141580"
"GOMEZ-QUINONES","HIST 191D","Like A Hurricane","Smith","https://coverimages.verbacompete.com/62cb126f-afb4-5f6a-86d5-351b159d0221.jpg","9781565844025","141580"
"GOMEZ-QUINONES","HIST 191D","Making Aztlan","Gomez Quinones","https://coverimages.verbacompete.com/b2f2e943-bd00-56a5-a98e-3bf95fcea1ff.jpg","9780826354662","141580"
"GOMEZ-QUINONES","HIST 191D","Rethinking The New Left","Gosse","https://coverimages.verbacompete.com/6de498ad-6194-5e7b-a674-5d1dea3e44b8.jpg","9781403966957","141580"
"GOMEZ-QUINONES","HIST 191D","Stonewall","Duberman","https://coverimages.verbacompete.com/d91c21cd-54c2-5733-b827-833225d443ea.jpg","9780452272064","141580"
"GOMEZ-QUINONES","HIST 191D","Stride Toward Freedom ","King","https://coverimages.verbacompete.com/f9f98c9f-c5cd-5221-af15-24ec5d16b6fd.jpg","9780807000694","141580"
"YEAGER","HIST 191D","Big Short","Lewis","https://coverimages.verbacompete.com/461596cc-b277-5a3d-b01c-fdcbef4bb0f4.jpg","9780393353150","141581"
"YEAGER","HIST 191D","Drama & Market In The Age Of Shakespeare","Bruster","https://coverimages.verbacompete.com/be92fda3-60ff-5234-88fe-bb94bf14ad29.jpg","9780521607063","141581"
"YEAGER","HIST 191D","Founders & Finance","Mccraw","https://coverimages.verbacompete.com/65bfa07f-8b53-5e27-a1c3-310bbc850877.jpg","9780674284104","141581"
"YEAGER","HIST 191D","Money Changes Everything","Goetzmann","https://coverimages.verbacompete.com/0903ea51-4288-5fb2-9fc3-3309a87f436e.jpg","9780691143781","141581"
"YEAGER","HIST 191D","Other Peoples Money","Sterner","https://coverimages.verbacompete.com/2cbe8ae0-9cf8-5140-83b3-ee892f42dabf.jpg","9780573691010","141581"
"YEAGER","HIST 191D","Voysey Inheritance","Mamet","https://coverimages.verbacompete.com/cdc9c450-d0c4-502c-9079-0e2ca10479e0.jpg","9780307275196","141581"
"GREEN","HIST 191N","Afghanistan","Barfield","https://coverimages.verbacompete.com/685da5a2-1f41-552b-a7ef-779326846518.jpg","9780691154411","141582"
"MADLEY","HIST 191O","An American Genocide","Madley","https://coverimages.verbacompete.com/59d85324-fb85-58f6-ba82-74512dc93534.jpg","9780300181364","141583"
"MADLEY","HIST 191O","Blood & Soil","Kiernan","https://coverimages.verbacompete.com/e1be128b-ec81-5ca0-821f-5ad418e5ba5d.jpg","9780300144253","141583"
"MADLEY","HIST 191O","Bloodlands","Snyder","https://coverimages.verbacompete.com/4b243d32-94df-53b8-a516-ab306c76db16.jpg","9780465031474","141583"
"MADLEY","HIST 191O","If You Leave Us Here We Will Die","Robinson","https://coverimages.verbacompete.com/77b20c7c-accc-5c2c-b6d4-3c268e1134c4.jpg","9780691150178","141583"
"MADLEY","HIST 191O","Rwanda Crisis","Prunier","https://coverimages.verbacompete.com/5852c349-2349-58f2-978b-eba03c919abd.jpg","9780231104098","141583"
"MADLEY","HIST 191O","Years Of Extermination","Friedlander","https://coverimages.verbacompete.com/289a380c-495d-5ce3-b0e7-c2de6a64aef5.jpg","9780060930486","141583"
"MADLEY","HIST 191O","Young Turks' Crime Against Humanity","Akcam","https://coverimages.verbacompete.com/08dda166-9bf9-52dc-aea1-9bcfb468f23c.jpg","9780691159560","141583"
"GOLDBERG","HIST 1A","Crs Introduction To Western Civilization","Goldberg","https://coverimages.verbacompete.com/no_image.jpg","9788891799272","141586"
"GOLDBERG","HIST 1A","Western Civilizations (V1)","Cole","https://coverimages.verbacompete.com/40e274e3-e6ed-5cd6-b31e-2f230b626396.jpg","9780393922141","141586"
"GOLDBERG","HIST 1A","Womens Work","Barber","https://coverimages.verbacompete.com/a5c32355-add9-5868-90d0-dfb4dd65fb74.jpg","9780393313482","141586"
"JACOBY","HIST 1C","Ordinary Men","Browning","https://coverimages.verbacompete.com/52cc812b-2f97-5402-ae8d-cb3a88715faa.jpg","9780060995065","141596"
"JACOBY","HIST 1C","West Civilizations (Loose-Leaf)","Cole","https://coverimages.verbacompete.com/e0fe4edb-9646-521a-aace-b2f5ee6b4812.jpg","9780393123753","141596"
"SHERWAN","HIST 20","Essential World History Vi To 1800","Duiker","https://coverimages.verbacompete.com/42860ed8-1b5b-5925-b66a-290cd9ed8cf9.jpg","9781305645356","141612"
"SHERWAN","HIST 20","Readings In Ancient History","Bailkey","https://coverimages.verbacompete.com/4026d8af-9ea4-574a-a750-b7c415f88cc3.jpg","9780495913030","141612"
"GOMEZ-QUINONES","HIST 201H","Crs Social Movements In The United States","Gomez Quinones","https://coverimages.verbacompete.com/no_image.jpg","9788891792334","141625"
"GOMEZ-QUINONES","HIST 201H","Daring To Be Bad","Echols","https://coverimages.verbacompete.com/e97cb391-9e15-543d-a8e8-462efe0d345b.jpg","9780816617876","141625"
"GOMEZ-QUINONES","HIST 201H","Legacy To Liberation","Ho","https://coverimages.verbacompete.com/36aaf8ab-86e6-541f-9f3f-912c7a5f578b.jpg","9781902593241","141625"
"GOMEZ-QUINONES","HIST 201H","Like A Hurricane","Smith","https://coverimages.verbacompete.com/62cb126f-afb4-5f6a-86d5-351b159d0221.jpg","9781565844025","141625"
"GOMEZ-QUINONES","HIST 201H","Making Aztlan","Gomez Quinones","https://coverimages.verbacompete.com/b2f2e943-bd00-56a5-a98e-3bf95fcea1ff.jpg","9780826354662","141625"
"GOMEZ-QUINONES","HIST 201H","Rethinking The New Left","Gosse","https://coverimages.verbacompete.com/6de498ad-6194-5e7b-a674-5d1dea3e44b8.jpg","9781403966957","141625"
"GOMEZ-QUINONES","HIST 201H","Stonewall","Duberman","https://coverimages.verbacompete.com/d91c21cd-54c2-5733-b827-833225d443ea.jpg","9780452272064","141625"
"GOMEZ-QUINONES","HIST 201H","Stride Toward Freedom ","King","https://coverimages.verbacompete.com/f9f98c9f-c5cd-5221-af15-24ec5d16b6fd.jpg","9780807000694","141625"
"GREEN","HIST 201K","Afghanistan","Barfield","https://coverimages.verbacompete.com/685da5a2-1f41-552b-a7ef-779326846518.jpg","9780691154411","141627"
"GOLDBERG","HIST 204A","Along The Archival Grain","Stoler","https://coverimages.verbacompete.com/fd764c92-f2c6-5125-86a2-bdfe1ac8349f.jpg","9780691146362","141628"
"GOLDBERG","HIST 204A","Before & Beyond Divergence","Rosenthal","https://coverimages.verbacompete.com/633bec7c-5a8d-585b-b4c8-1a07cf287076.jpg","9780674057913","141628"
"GOLDBERG","HIST 204A","Colonialism In Question ","Cooper","https://coverimages.verbacompete.com/fb4efcb9-ef87-502c-9901-520707fd228a.jpg","9780520244146","141628"
"GOLDBERG","HIST 204A","Logics Of History","Sewell","https://coverimages.verbacompete.com/85f5bb6d-b81f-5122-9146-0a779de938c7.jpg","9780226749181","141628"
"GOLDBERG","HIST 204A","London Hanged","Linebaugh","https://coverimages.verbacompete.com/3ee69106-1a12-572d-9d6c-1a28c5888f41.jpg","9781859845769","141628"
"GOLDBERG","HIST 204A","Mr Seldens Map Of China","Brook","https://coverimages.verbacompete.com/d9939062-02dc-5bd3-8e37-54d09f684fe5.jpg","9781620401439","141628"
"GOLDBERG","HIST 204A","Ottoman Age Of Exploration","Casale","https://coverimages.verbacompete.com/86959d9b-d76f-5b09-b053-546f7cd44857.jpg","9780199874040","141628"
"GOLDBERG","HIST 204A","Provincializing Europe (W/ Nw Pref)","Chakrabarty","https://coverimages.verbacompete.com/303eee70-e47c-5860-b7af-e62630f9f61e.jpg","9780691130019","141628"
"GOLDBERG","HIST 204A","River Of Dark Dreams","Johnson","https://coverimages.verbacompete.com/50cd51ef-64e5-5574-bb25-e073ca582110.jpg","9780674045552","141628"
"GOLDBERG","HIST 204A","Through The Eye Of A Needle","Brown","https://coverimages.verbacompete.com/b1485085-22b5-5ad9-ad88-86582633c02e.jpg","9780691161778","141628"
"VON GLAHN","HIST 214","Before & Beyond Divergence","Rosenthal","https://coverimages.verbacompete.com/633bec7c-5a8d-585b-b4c8-1a07cf287076.jpg","9780674057913","141629"
"VON GLAHN","HIST 214","British Industrial Revolution In Global Perspective","Allen","https://coverimages.verbacompete.com/7945b756-6378-56ba-abff-92d29db5b474.jpg","9780521687850","141629"
"VON GLAHN","HIST 214","Great Divergence ","Pomeranz","https://coverimages.verbacompete.com/d4c159a6-f178-579a-a4bd-112fa378b65a.jpg","9780691090108","141629"
"VON GLAHN","HIST 214","Industrious Revolution","De Vries","https://coverimages.verbacompete.com/1d52c29a-1b28-5c7b-b4f2-dbecce197cda.jpg","9780521719254","141629"
"VON GLAHN","HIST 214","Long Divergence","Kuran","https://coverimages.verbacompete.com/b8c74a7d-eee1-5074-9ff0-2491910093de.jpg","9780691156415","141629"
"VON GLAHN","HIST 214","State Economy & Great Divergence","Vries","https://coverimages.verbacompete.com/df161626-a11d-5e83-8b33-220db246500f.jpg","9781472530226","141629"
"VON GLAHN","HIST 214","Why Europe Grew Rich & Asia Did Not","Parthasarathi","https://coverimages.verbacompete.com/11e4eae2-7ad1-51a7-aa1b-6e4884d703a5.jpg","9780521168243","141629"
"VON GLAHN","HIST 214","Why Nations Fail","Acemoglu","https://coverimages.verbacompete.com/b92efeb5-511d-5d15-b3ac-19a3e02151aa.jpg","9780307719225","141629"
"ALEXANDER","HIST 3A","Revolutionizing The Sciences","Dear","https://coverimages.verbacompete.com/e16a3d25-e821-5647-8aab-f3751e62fe4a.jpg","9780691142067","141647"
"ALEXANDER","HIST 3A","Science In Europe 1500-1800","Oster","https://coverimages.verbacompete.com/40ab280a-ea0f-557f-92d6-5579521aee53.jpg","9780333970027","141647"
"PORTER","HIST 3C","Copenhagen","Frayn","https://coverimages.verbacompete.com/b7ec6a2a-56bf-5b12-8605-74f818c5bd23.jpg","9780385720793","141654"
"PORTER","HIST 3C","Darwin (Ed Appleman)","Darwin","https://coverimages.verbacompete.com/e81aba41-10c3-5067-906e-1135071d5651.jpg","9780393958492","141654"
"PORTER","HIST 3C","Double Helix (Ed Stent)","Watson","https://coverimages.verbacompete.com/5dcb7773-ea5d-5bd4-93ab-0aec1cb1ed29.jpg","9780393950755","141654"
"TERRACIANO","HIST 8A","Children Of Gods Fire","Conrad","https://coverimages.verbacompete.com/486ecd78-fa89-5fff-a502-20dce911cad4.jpg","9780271013213","141668"
"TERRACIANO","HIST 8A","Crs A Brief History Of Colonial Latin America","Terraciano","https://coverimages.verbacompete.com/no_image.jpg","9789891803051","141668"
"TERRACIANO","HIST 8A","Crs Colonial Latin America","Terraciano","https://coverimages.verbacompete.com/no_image.jpg","9789891809671","141668"
"TERRACIANO","HIST 8A","Letters & People Of Spanish Indies","Lockhart","https://coverimages.verbacompete.com/946b27d4-1219-5941-982d-38295b13a180.jpg","9780521099905","141668"
"TERRACIANO","HIST 8A","Mesoamerican Voices","Restall","https://coverimages.verbacompete.com/c25a530e-94d1-5730-b83b-587308818d73.jpg","9780521012218","141668"
"SCHRAFF III","HIST 96W","American Disease","Musto","https://coverimages.verbacompete.com/7cf9b22d-c08c-5cb2-a408-19dcc302b8c8.jpg","9780195125092","141685"
"SCHRAFF III","HIST 96W","Forces Of Habit","Courtwright","https://coverimages.verbacompete.com/878db9d4-adcc-57eb-9397-93f4d2bbaa96.jpg","9780674010031","141685"
"SCHRAFF III","HIST 96W","Let Them Eat Prozac","Healy","https://coverimages.verbacompete.com/cbf65a13-991d-5682-afc2-1af196b2b65e.jpg","9780814736975","141685"
"SCHRAFF III","HIST 96W","Marijuana Legalization","Caulkins","https://coverimages.verbacompete.com/b4650812-73d8-5102-a446-d0207e415eca.jpg","9780190262402","141685"
"DEGANI","HIST 96W","Settler Colonialism","Veracini","https://coverimages.verbacompete.com/0c96c87a-9ac4-5b6f-8c89-e4067b72213a.jpg","9780230284906","141686"
"GETTY","HIST 97C","Darkness At Noon","Koestler","https://coverimages.verbacompete.com/353d7f5a-467c-566a-8b87-be47c751312d.jpg","9781416540267","141689"
"GETTY","HIST 97C","Moscow 1937","Schlogel","https://coverimages.verbacompete.com/27354727-9f7e-575d-abb5-5040eb3bdb3b.jpg","9780745650777","141689"
"SILVERMAN","HIST 97C","Cheese & Worms (W/ New Preface) (Tr Tedeschi)","Ginzburg","https://coverimages.verbacompete.com/3ac43275-c6bb-55c5-bebe-5e8311cc70ff.jpg","9781421409887","141690"
"SILVERMAN","HIST 97C","Civilizing Rituals ","Duncan","https://coverimages.verbacompete.com/51ee8ba0-f75b-58b1-9ac3-313bc5026e1b.jpg","9780415070126","141690"
"SILVERMAN","HIST 97C","Great Cat Massacre","Darnton","https://coverimages.verbacompete.com/d1f603e8-99ef-5069-8ffb-dc41395b24f9.jpg","9780465012749","141690"
"SILVERMAN","HIST 97C","Invention Of Tradition (Rev) (Ed Hobsbawm & Ranger)","Hobsbawm","https://coverimages.verbacompete.com/8489764b-8142-5b40-a8c1-8768bae1e14c.jpg","9781107604674","141690"
"SILVERMAN","HIST 97C","Painting & Exper In 15th Cent Italy (2nd)","Baxandall","https://coverimages.verbacompete.com/754ba293-fb88-5f3b-bec5-e9a5b2ac108a.jpg","9780192821447","141690"
"SILVERMAN","HIST 97C","Society & Culture In Early Modern France","Davis","https://coverimages.verbacompete.com/53afa656-90ab-5de9-882f-886ff9bb0cfb.jpg","9780804709729","141690"
"SILVERMAN","HIST 97C","Statue Of Liberty","Berenson","https://coverimages.verbacompete.com/3b390d46-2539-5a90-8c78-b95c688cd6cf.jpg","9780300149500","141690"
"SILVERMAN","HIST 97C","Ways Of Seeing","Berger","https://coverimages.verbacompete.com/cbf0039f-5209-5eb2-8def-4357095a4e60.jpg","9780140135152","141690"
"SUBRAHMANYAM","HIST 9A","Concise Hist Mod India (Rev) (3rd)","Metcalf","https://coverimages.verbacompete.com/2d6da15a-12f6-596b-8db9-1c2413e63dab.jpg","9781107672185","141691"
"SUBRAHMANYAM","HIST 9A","History Of India","Kulke","https://coverimages.verbacompete.com/86898c7f-6776-568e-a493-c87fd83aac6e.jpg","9781138961159","141691"
"SUBRAHMANYAM","HIST 9A","India ","Trautmann","https://coverimages.verbacompete.com/46c279bf-af69-5528-9ff8-a083d1293489.jpg","9780190202491","141691"
"SUBRAHMANYAM","HIST 9A","India Before Europe","Asher","https://coverimages.verbacompete.com/2a500c12-cc51-5979-984c-6e90e926b09c.jpg","9780521005395","141691"
"GELVIN","HIST 9D","An Imam In Paris","Al Tahtawi","https://coverimages.verbacompete.com/12f5ffc0-cbaa-50e1-9f6b-d9ab78b4b4f1.jpg","9780863564079","141698"
"GELVIN","HIST 9D","Arab Uprisings","Gelvin","https://coverimages.verbacompete.com/c851b3c2-9f5a-5f84-afbd-197766163a30.jpg","9780190222758","141698"
"GELVIN","HIST 9D","Modern Middle East ","Gelvin","https://coverimages.verbacompete.com/a423cec8-87fe-5609-9d4d-c0f93a288941.jpg","9780190218867","141698"
"GELVIN","HIST 9D","The Queue","Aziz","https://coverimages.verbacompete.com/09627e77-18a2-5cf9-958a-6c15edc2637f.jpg","9781612195162","141698"
"TROCHE","HIST M103A","History Ancient Egypt","Van De Mieroop","https://coverimages.verbacompete.com/98224147-823a-5240-827c-ba9f43b78357.jpg","9781405160711","141705"
"TROCHE","HIST M103A","Literature Of Ancient Egypt","Simpson","https://coverimages.verbacompete.com/9b41f6e6-5fa0-54f6-9030-829d40bdd5b3.jpg","9780300099201","141705"
"CARTER","HIST M104B","Ancient Mesopotamia","Pollock","https://coverimages.verbacompete.com/860dedb0-905f-5b3b-93a8-4126cdae6604.jpg","9780521575683","141714"
"CARTER","HIST M104B","Lives Of Sumerian Sculpture","Evans","https://coverimages.verbacompete.com/65e9b19d-6f89-51a3-a0d9-6231cd84b1a4.jpg","9781107017399","141714"
"SHAYEGAN","HIST M110A","Ancient Persia","Waters","https://coverimages.verbacompete.com/d0017d7f-3414-51c0-82a6-d197b8ee15dd.jpg","9780521253697","141723"
"ROTH","HIST M150A","African Slavery In Latin America & Caribbean","Klein","https://coverimages.verbacompete.com/b40f94ed-47af-541e-b6ab-48d6a435351e.jpg","9780195189421","141725"
"ROTH","HIST M150A","Atlantic Slave Trade","Northrup","https://coverimages.verbacompete.com/b9d54809-8e4f-59f5-bb14-2da5fec8b37d.jpg","9780618643561","141725"
"ROTH","HIST M150A","Birth Of African American Culture","Mintz","https://coverimages.verbacompete.com/b9542b72-117d-5f80-86bd-959d9c67760f.jpg","9780807009178","141725"
"ROTH","HIST M150A","Slave & Citizen","Tannenbaum","https://coverimages.verbacompete.com/ef3d22d9-4f35-54c8-9cf7-c98e7a7217bd.jpg","9780807009130","141725"
"GOMEZ-QUINONES","HIST M151A","Crs Legacies/Testimonios Before & After 1500","Gomez Quinones","https://coverimages.verbacompete.com/no_image.jpg","9789891809978","141726"
"GOMEZ-QUINONES","HIST M151A","Daily Life Of Aztecs","Soustelle","https://coverimages.verbacompete.com/ef2a60ca-1067-5cd1-adf6-cfdcafe15a55.jpg","9780804707213","141726"
"GOMEZ-QUINONES","HIST M151A","Foreigners In Their Native Land","Weber","https://coverimages.verbacompete.com/391789bf-3b2c-5616-a607-5e329fd422ad.jpg","9780826335104","141726"
"GOMEZ-QUINONES","HIST M151A","Indigenous Peoples History Of United States","Dunbar Ortiz","https://coverimages.verbacompete.com/c0b98ade-5c20-5ffc-9e53-1d73032bff61.jpg","9780807057834","141726"
"GOMEZ-QUINONES","HIST M151A","Limits Of Racial Domination","Cope","https://coverimages.verbacompete.com/e8b530dd-35b6-550a-8ca2-0de47827f6db.jpg","9780299140441","141726"
"GOMEZ-QUINONES","HIST M151A","Mexico Profundo (Tr Dennis)","Bonfil Batalla","https://coverimages.verbacompete.com/dfdf034f-3a74-58c2-bf87-436732cf8409.jpg","9780292708433","141726"
"GOMEZ-QUINONES","HIST M151A","Thrown Among Strangers","Monroy","https://coverimages.verbacompete.com/0e126818-38b1-5c29-8b63-4026e2ebac91.jpg","9780520082755","141726"
"GOMEZ-QUINONES","HIST M151A","Women In Mexico (Tr Hynds) ","Pablos","https://coverimages.verbacompete.com/fc663ca1-0f2d-5feb-9560-d6ba764230e1.jpg","9780292781610","141726"
"GOMEZ-QUINONES","HIST M151A","Emergence Of Mod Mexican Woman","Soto","https://coverimages.verbacompete.com/79a749bb-51dc-5607-9509-74e34cdbd443.jpg","9780912869124","141726"
"GOMEZ-QUINONES","HIST M151A","Indigenous Quotient / Stalking Words","Gomez Quinones","https://coverimages.verbacompete.com/4a54be96-f032-5f31-9fe6-74c085b318cc.jpg","9780984441525","141726"
"GOMEZ-QUINONES","HIST M151A","Occupied America","Acuna","https://coverimages.verbacompete.com/d5137d8a-d6d6-559e-99c1-eb33e5e987b0.jpg","9780205880843","141726"
"BOUSTAN","HIST M182A","Ancient Jews From Alexander To Muhammad","Schwartz","https://coverimages.verbacompete.com/87064422-c2b0-51b3-9cf4-ceed80e928ce.jpg","9781107669291","141728"
"BOUSTAN","HIST M182A","Cultures Of The Jews (V1)","Biale","https://coverimages.verbacompete.com/ac8d78e0-7c3a-5dc8-8872-b6d8402db6c7.jpg","9780805212006","141728"
